Alvo;Time;Angulacao
Grama;13.13333333;45
Grama;13.13333333;45
Grama;13.15;45
Grama;13.28333333;45
Grama;13.3;45
Grama;13.05;-45
Grama;13.18333333;-45
Grama;13.2;-45
Grama;13.2;-45
Grama;13.25;-45
Grama;13.26666667;70
Grama;13.08333333;70
Grama;13.15;70
Grama;13.16666667;70
Grama;13.18333333;70
Grama;13.31666667;-70
Grama;13.31666667;-70
Grama;13.06666667;-70
Grama;13.21666667;-70
Grama;13.21666667;-70
Grama;13.23333333;Nadir
Grama;13.26666667;Nadir
Grama;13.28333333;Nadir
Grama;13.1;Nadir
Grama;13.1;Nadir
Grama;13.11666667;45
Grama;13.11666667;45
Grama;13.23333333;45
Grama;13.25;45
Grama;13.05;45
Urbano;13.43333333;-45
Urbano;13.46666667;-45
Urbano;13.51666667;-45
Urbano;13.53333333;-45
Urbano;13.56666667;-45
Urbano;13.38333333;70
Urbano;13.6;70
Urbano;13.61666667;70
Urbano;13.65;70
Urbano;13.66666667;70
Urbano;13.68333333;-70
Urbano;13.4;-70
Urbano;13.45;-70
Urbano;13.48333333;-70
Urbano;13.51666667;-70
Urbano;13.55;Nadir
Urbano;13.58333333;Nadir
Urbano;13.38333333;Nadir
Urbano;13.61666667;Nadir
Urbano;13.63333333;Nadir
Urbano;13.65;45
Urbano;13.66666667;45
Urbano;13.68333333;45
Urbano;13.4;45
Urbano;13.41666667;45
Urbano;13.46666667;-45
Urbano;13.5;-45
Urbano;13.53333333;-45
Urbano;13.56666667;-45
Urbano;13.36666667;-45
Solo;13.86666667;70
Solo;13.88333333;70
Solo;13.88333333;70
Solo;13.91666667;70
Solo;13.93333333;70
Solo;13.75;-70
Solo;14.03333333;-70
Solo;14.05;-70
Solo;14.06666667;-70
Solo;14.08333333;-70
Solo;14.1;Nadir
Solo;13.76666667;Nadir
Solo;13.95;Nadir
Solo;13.96666667;Nadir
Solo;13.98333333;Nadir
Solo;14;45
Solo;14;45
Solo;13.76666667;45
Solo;14.1;45
Solo;14.11666667;45
Solo;14.13333333;-45
Solo;14.15;-45
Solo;14.16666667;-45
Solo;13.76666667;-45
Solo;13.8;-45
Solo;13.8;70
Solo;13.81666667;70
Solo;13.83333333;70
Solo;13.85;70
Solo;13.75;70
Agua;12.61388889;Nadir
Agua;12.66166667;Nadir
Agua;12.68138889;Nadir
Agua;12.69611111;45
Agua;12.71333333;45
Agua;12.72861111;45
Agua;12.74277778;70
Agua;12.76194444;70
Agua;12.78027778;70
Agua;12.85027778;Nadir
Agua;12.86444444;-45
Agua;12.88555556;-45
Agua;12.91166667;-45
Agua;12.93833333;-70
Agua;12.96694444;-70
Agua;12.98;-70
